From djh@mail.ast.cam.ac.uk Thu Sep 23 11:08:56 1993
Date: Thu, 23 Sep 93 18:15:46 BST
From: David Helfand <djh@mail.ast.cam.ac.uk>
To: wqd@vela.colorado.edu
Subject: radio survey
Content-Length: 4638

Hi Qingde-
Appended is one of the two fields we surveyed in the radio at 20cm (Eridanus).
We also have Draco, but the list I have on the computer here doesn't have
the fluxes, so I'm afraid you'll have to pursue Tom for that (and good luck)
if you need it. The positions are 1950 amd the fluxes in microJanskys:

Let me know (in a week) if you need more info.
					Cheers,    David


Eridanus radio blips (with flux)
   4 40 25.12 -16 22 28.92              640.5                     
   4 40 25.12 -16 22 28.92              603.5                     
   4 40 18.90 -16 26 54.07             1009.2                     
   4 40 15.73 -16 21 19.14              290.5                     
   4 40 11.81 -16  5 14.21              123.9                     
   4 40  7.88 -16 44 29.31              275.0                     
   4 40  7.18 -16 44 49.33              310.2                     
   4 40  4.98 -16 25  9.37              533.9                     
   4 39 59.44 -16 28 34.47              645.6                     
   4 39 49.69 -16 25  4.63              823.4                     
   4 39 44.87 -16 36 59.70              980.3                     
   4 39 36.87 -16 34 19.80              365.6                     
   4 39 36.50 -16 28 44.80              254.9                     
   4 39 22.91 -16 12 24.91              319.1                     
   4 39 18.75 -16 12 29.94             1676.7                     
   4 39 14.94 -16 22 24.97              493.0                     
   4 39  5.21 -16 26 30.00              331.3                     
   4 39  5.91 -16 27 19.99              544.7                     
   4 39  9.74 -16 34 49.99              911.1                     
   4 39  9.39 -16 39  9.99              369.3                     
   4 39  0.70 -16 42 30.00             1881.5                     
   4 38 47.81 -16 47 34.98              374.6                     
   4 38 43.63 -16 47 44.96              349.0                     
   4 38 43.16 -16 49 39.92             5554.0                     
   4 38 40.50 -16 47 24.95              401.6                     
   4 38 39.11 -16 47 49.94              438.8                     
   4 38 37.72 -16 48 29.93             1500.4                     
   4 38 45.73 -16 42 54.97              279.5                     
   4 38 47.82 -16 40 39.98              264.1                     
   4 38 45.04 -16 39 34.97              208.6                     
   4 38 49.53 -16 37 24.54            17855.0                     
   4 38 49.56 -16 35 39.98              370.5                     
   4 38 46.78 -16 34 54.97              199.0                     
   4 38 53.40 -16 28 49.99              327.3                     
   4 38 44.36 -16 28 49.96              329.5                     
   4 38 38.45 -16 26 24.93              144.9                     
   4 38 47.84 -16 23 24.98              245.4                     
   4 38 49.81 -16 21 59.33            27882.0                     
   4 38 46.46 -16 18 19.97              526.3                     
   4 38 43.33 -16 16  4.95              252.3                     
   4 38 41.25 -16 18  4.94              321.3                     
   4 38 37.43 -16 17 34.92              306.8                     
   4 38 38.81 -16 20 34.93             1436.7                     
   4 38 31.37 -16 23 25.00             5440.0                     
   4 38 36.75 -16  7 14.90              316.2                     
   4 37 45.71 -16 13 29.17              570.9                     
   4 37 45.71 -16 13 54.17              229.7                     
   4 37 50.53 -16 20 19.28              992.6                     
   4 37 46.36 -16 19 39.19              771.8                     
   4 38  0.23 -16 25 24.47              209.9                     
   4 38 27.66 -16 33 54.84              226.3                     
   4 38 28.70 -16 35 14.85             1100.6                     
   4 37 52.54 -16 33 14.32              263.6                     
   4 37 54.27 -16 34 29.36              236.3                     
   4 37 58.09 -16 35 29.43              590.1                     
   4 38  6.78 -16 36 19.58              323.7                     
   4 38 13.39 -16 35 44.68             1049.9                     
   4 38 20.00 -16 36 34.76              373.4                     
   4 38 22.43 -16 37 24.79              478.3                     
   4 38 28.69 -16 38 19.85             1657.6                     
   4 38 20.33 -16 42  4.77              910.2                     
   4 38 11.60 -16 49  4.65             1287.6                     
   4 37 51.74 -16 50  4.31             1860.8                     

